station_id,poi_index,poi_id,weight
171,24,24,0.11256826553283267
171,238,238,0.11654960660273089
171,266,266,0.7708821278644364
183,5825,5825,0.5317253018456837
183,5833,5833,0.12908346018424646
183,5713,5713,0.3391912379700697
189,10,10,0.5591372846663971
189,32,32,0.21623035192726414
189,5613,5613,0.22463236340633863
225,5907,5907,0.5532078275167264
225,5899,5899,0.33634875513209767
225,8,8,0.11044341735117602
246,1438,1438,0.8224446703564432
246,603,603,0.11250412078122965
246,152,152,0.06505120886232724
247,5807,5807,0.6501252000413802
247,5806,5806,0.23973421410935492
247,5793,5793,0.11014058584926492
248,1004,1004,0.2723776638630604
248,256,256,0.38422767888103915
248,243,243,0.34339465725590046
249,5663,5663,0.3800514859075372
249,144,144,0.3360931387990466
249,5668,5668,0.28385537529341626
250,5683,5683,0.4778742527526891
250,52,52,0.18680199600732197
250,5664,5664,0.3353237512399888
251,5907,5907,0.3697759319693803
251,5825,5825,0.3291300569688485
251,5598,5598,0.30109401106177125
252,38,38,0.00852522099865583
252,237,237,0.011074567914938714
252,544,544,0.9804002110864054
253,2558,2558,0.11182124152226874
253,2487,2487,0.41490053106667174
253,2484,2484,0.4732782274110594
254,38,38,0.3858409620606086
254,237,237,0.3930325948676718
254,5810,5810,0.22112644307171958
255,38,38,0.33531293423164005
255,237,237,0.4398583077244822
255,5810,5810,0.22482875804387778
256,5899,5899,0.3563528484930725
256,252,252,0.40135065150516486
256,335,335,0.2422965000017626
257,2679,2679,0.765324801963875
257,2680,2680,0.11879050418626305
257,3203,3203,0.11588469384986197
258,41,41,0.4573689296536036
258,1107,1107,0.36300174416368375
258,1106,1106,0.17962932618271257
259,5598,5598,0.2523392531183797
259,4094,4094,0.6233530251166319
259,1369,1369,0.12430772176498857
260,5923,5923,0.43365655209578624
260,5921,5921,0.3126719115010343
260,5922,5922,0.2536715364031795
261,36,36,0.4885914101774984
261,5681,5681,0.2928183676510766
261,148,148,0.21859022217142507
262,1983,1983,0.688672848898393
262,2507,2507,0.15975738643479034
262,1984,1984,0.15156976466681668
264,1621,1621,0.3974422218234587
264,1620,1620,0.302685964221471
264,152,152,0.29987181395507034
265,13,13,0.29570661067560117
265,471,471,0.11951350471725407
265,293,293,0.5847798846071447
266,373,373,0.348170415264729
266,3647,3647,0.04086948749313699
266,2506,2506,0.610960097242134
273,5681,5681,0.28432899846803583
273,5800,5800,0.2507359929437261
273,1825,1825,0.46493500858823816
275,2318,2318,0.26600405869342775
275,2029,2029,0.5763823737801376
275,5866,5866,0.15761356752643477
277,5268,5268,0.053127141033276946
277,1009,1009,0.9000158771523413
277,4096,4096,0.04685698181438164
284,107,107,0.04599941433569335
284,1375,1375,0.0563740856119412
284,353,353,0.8976265000523656
285,5551,5551,0.3129498918386485
285,5658,5658,0.35912166374641097
285,5683,5683,0.3279284444149405
289,5814,5814,0.16190570447893726
289,5792,5792,0.7480108000400513
289,5793,5793,0.09008349548101147
290,1371,1371,0.12632776254081274
290,995,995,0.7600303571077766
290,1372,1372,0.1136418803514108
296,5718,5718,0.2510900299018364
296,14,14,0.22780513244323414
296,2134,2134,0.5211048376549295
297,5914,5914,0.5891003345241326
297,248,248,0.4108996654758673
340,1882,1882,0.5019832000315518
340,1844,1844,0.3222020963485138
340,3286,3286,0.17581470361993434
341,1811,1811,0.8693130135450439
341,1812,1812,0.105375268242988
341,1866,1866,0.02531171821196823
342,1727,1727,0.29336461147264914
342,100,100,0.08212350892784089
342,1726,1726,0.6245118795995099
343,1791,1791,0.9357874922703326
343,1831,1831,0.0355114730697452
343,4156,4156,0.028701034659922228
344,1814,1814,0.9195506461202437
344,1813,1813,0.044837304092582214
344,5296,5296,0.03561204978717412
345,9,9,0.15082020331061433
345,2126,2126,0.5480322293705647
345,396,396,0.301147567318821
346,470,470,0.6067924583373089
346,2151,2151,0.19079347499007648
346,2145,2145,0.20241406667261466
347,5462,5462,0.23659926464059497
347,5461,5461,0.15435467829913999
347,297,297,0.609046057060265
349,1253,1253,0.2221221217412809
349,228,228,0.1957501311638038
349,3571,3571,0.5821277470949153
350,154,154,0.13906231826383234
350,5348,5348,0.6486024120600828
350,5099,5099,0.21233526967608474
351,5348,5348,0.6677275713534695
351,154,154,0.09240720037667108
351,5099,5099,0.23986522826985937
352,26,26,0.13441975585195562
352,5099,5099,0.36533405286397774
352,5348,5348,0.5002461912840668
353,26,26,0.4922642000163249
353,176,176,0.3335411306402291
353,5226,5226,0.17419466934344596
354,332,332,0.36460829248916915
354,522,522,0.04986416414280308
354,521,521,0.5855275433680277
355,3635,3635,0.32830173301950105
355,2442,2442,0.18319619663825196
355,1055,1055,0.488502070342247
356,147,147,0.28045108048539025
356,365,365,0.14258668642613215
356,366,366,0.5769622330884776
357,5819,5819,0.14891059580243562
357,5095,5095,0.04571356854232269
357,5082,5082,0.8053758356552417
358,1838,1838,0.3535249182061516
358,5802,5802,0.37488852856512145
358,5801,5801,0.2715865532287269
359,28,28,0.23953442276850315
359,2753,2753,0.625894587153121
359,726,726,0.13457099007837575
365,5921,5921,0.3938508727968823
365,241,241,0.3328888754977366
365,5922,5922,0.27326025170538115
366,370,370,0.9902108634269656
366,2477,2477,0.004358382136046872
366,197,197,0.005430754436987432
648,3093,3093,0.8322392104282641
648,5913,5913,0.04199948427823199
648,3094,3094,0.12576130529350382
820,1970,1970,0.37962535741140624
820,3623,3623,0.3132239755341461
820,1969,1969,0.30715066705444755
860,1621,1621,0.4302932190853028
860,1620,1620,0.3002703569031776
860,152,152,0.2694364240115195
862,2789,2789,0.46433447437722675
