poi_id,inflow_per_hour,outflow_per_hour,demand_per_hour,category,lat,lon
0,7.134802762184258e-05,7.134802762184258e-05,0.00014269605524368516,library,55.9162285,-3.2851455
1,4.218352604483842e-07,3.6785006420335754e-07,7.896853246517417e-07,library,55.9407099,-3.2810362
2,0.00031106875016906387,0.00023277269794815168,0.0005438414481172155,library,55.9427446,-3.0563335
3,0.03782222269584828,0.05324971143256402,0.0910719341284123,library,55.9474192,-3.18728575
4,7.241167246515285e-05,7.241167246515285e-05,0.0001448233449303057,library,55.9331942,-3.1367474
5,0.00013879259035577964,0.00013879259035577964,0.0002775851807115593,library,55.8717713,-3.1137959
6,9.819450805340696e-05,9.819450805340696e-05,0.00019638901610681393,library,55.9201125,-3.2875585
7,5.7331716919261496e-05,5.7331716919261496e-05,0.00011466343383852299,library,55.9754823,-3.1800469
8,0.021082065386041474,0.01499570581408828,0.036077771200129755,library,55.9506224,-3.1808417
9,0.03509956627987081,0.05234669088030368,0.08744625716017448,library,55.9334673,-3.2128229
10,0.05549750774596134,0.07786775270035126,0.1333652604463126,library,55.948668825999995,-3.1919613932
11,0.00012408199206880407,0.00012408199206880407,0.00024816398413760813,library,55.9028613,-3.1531137
12,0.00018805971556931306,0.00018805971556931306,0.0003761194311386261,library,55.8796264,-3.1535729
13,0.15562170942288633,0.23116117234524772,0.386782881768134,library,55.939691,-3.1818686
14,0.030875888214827524,0.013475063291551667,0.04435095150637919,library,55.9460774,-3.2005191
15,6.092297773946483e-05,6.092297773946483e-05,0.00012184595547892966,library,55.87442,-3.0485666
16,5.8753416821302346e-05,5.8753416821302346e-05,0.00011750683364260469,library,55.9767277,-3.2267667
17,0.00010664291834037785,0.00010664291834037785,0.0002132858366807557,library,55.9162181,-3.1102172
18,4.2016811672593373e-05,4.2016811672593373e-05,8.403362334518675e-05,library,55.949736,-3.1949634
19,0.0041209986057880316,0.0025671287951970763,0.006688127400985108,library,55.9246932,-3.2880002
20,0.00011220528211815605,0.00011220528211815605,0.0002244105642363121,library,55.89286101,-3.070264127
21,4.491294232222009e-05,4.491294232222009e-05,8.982588464444018e-05,library,55.9616459,-3.26096943
22,0.015316627655969852,0.006593770441627849,0.021910398097597702,library,55.94266114,-3.188989747
23,6.733723090184227e-05,6.733723090184227e-05,0.00013467446180368453,library,55.91345709,-3.134949632
24,0.02931406591531474,0.04866111675456841,0.07797518266988315,library,55.94010782,-3.218358857
25,0.0012938835185088747,0.0012938835185088747,0.0025877670370177495,library,55.89609792,-3.311059707
26,0.07120780554791191,0.1426231066305172,0.2138309121784291,library,55.93663051,-3.179831189
27,0.006059818885514851,0.003907258104319419,0.00996707698983427,library,55.90876593,-3.322166531
28,0.0027634815887467505,0.0027634815887467505,0.005526963177493501,library,55.95503729,-3.142267856
29,0.03032016009253338,0.020014083867610277,0.05033424396014366,library,55.9514455,-3.178098866
30,2.6357470336025577e-05,2.6357470336025577e-05,5.2714940672051155e-05,library,55.9320804,-3.179735895
31,0.02172170136301189,0.031076762137071282,0.05279846350008317,library,55.92889298,-3.209940931
32,0.001284073293778873,0.0015077882220881922,0.002791861515867065,library,55.93725887,-3.248423134
33,0.0719633266736649,0.10789360592834514,0.17985693260201002,library,55.96134562,-3.181388959
34,5.8848839215196043e-05,5.8848839215196043e-05,0.00011769767843039209,library,55.86672505,-3.06583005
35,0.18352849638289356,0.04981081696384174,0.2333393133467353,library,55.92290461,-3.174976595
36,0.0002438231107904848,0.0002438231107904848,0.0004876462215809696,library,55.90672481,-3.251408978
37,0.00014777682157951765,0.00014777682157951765,0.0002955536431590353,library,55.95538392,-3.287034985
38,0.059994988009433106,0.03253138853814201,0.09252637654757512,library,55.95891962,-3.207839007
39,5.2311299113216754e-05,5.2311299113216754e-05,0.00010462259822643351,library,55.90531345,-3.134191235
40,0.0014048494617274097,0.0014048494617274097,0.0028096989234548194,library,55.95337271,-3.116759644
41,2.940112988095002e-05,2.940112988095002e-05,5.880225976190004e-05,library,55.96651862,-3.205719224
42,7.220266935432312e-05,7.220266935432312e-05,0.00014440533870864624,library,55.90529096,-3.223430258
43,0.017057489083853766,0.015634326294803002,0.03269181537865677,library,55.95050315,-3.213323145
44,0.0006764637690270558,0.0006764637690270558,0.0013529275380541115,school,55.973634080000004,-3.2507802496666667
45,6.548200501715112e-05,6.548200501715112e-05,0.00013096401003430223,school,55.9666246,-3.2259783
46,6.73560466737438e-05,6.73560466737438e-05,0.0001347120933474876,school,55.9344588,-3.1233362
47,0.00012662517324429985,0.00012662517324429985,0.0002532503464885997,school,55.9609479,-3.171037
48,0.06028494490052125,0.02939385649280373,0.08967880139332499,school,55.9768772,-3.1719622
49,4.087792719059033e-05,4.087792719059033e-05,8.175585438118066e-05,school,55.9471277,-3.2137763
50,3.159285874970947e-05,3.159285874970947e-05,6.318571749941894e-05,school,55.9529392,-3.1994168
51,0.008089895287778339,0.0066064666521154876,0.014696361939893827,school,55.9430316,-3.0674452
52,0.00021914504365293488,0.00021914504365293488,0.00043829008730586976,school,55.928444539999994,-3.273827281333333
53,0.00024522100490293125,0.00024522100490293125,0.0004904420098058625,school,55.95238672,-3.2800213066666664
54,0.00011745611573671845,0.00011745611573671845,0.0002349122314734369,school,55.9037635,-3.1653365
55,8.906248157040396e-05,8.906248157040396e-05,0.00017812496314080793,school,55.9173669,-3.1693957
56,0.0004443757285733542,0.0004443757285733542,0.0008887514571467084,school,55.901250454999996,-3.045115402
57,0.002087329433024126,0.002087329433024126,0.004174658866048252,school,55.9518817,-3.1132882
