centroid_lon,centroid_lat,method,cluster_label_kmeans
-3.1918183362513877,55.948919340440014,kmeans_no_snap,0
-3.333151920852169,55.97050950574629,kmeans_no_snap,1
-3.116253718581858,55.95558660484142,kmeans_no_snap,2
-3.2457399941168847,55.931829257480786,kmeans_no_snap,3
-3.174678279553414,55.977791553126494,kmeans_no_snap,4
-3.167150248225403,55.91435377591596,kmeans_no_snap,5
-3.2218426856184936,55.95939101589402,kmeans_no_snap,6
-3.2101685188186426,55.92788762450235,kmeans_no_snap,7
-3.099734967971437,55.86573319397491,kmeans_no_snap,8
-3.3110877644192223,55.898430223230235,kmeans_no_snap,9
-3.180444129115574,55.961108637857706,kmeans_no_snap,10
-3.1849831011220595,55.93650134308277,kmeans_no_snap,11
-3.2211126876189726,55.94163496450043,kmeans_no_snap,12
-3.2946361653883947,55.93719825584554,kmeans_no_snap,13
-3.0703982683383195,55.932062144690924,kmeans_no_snap,14
-3.205691846387309,55.95224719879591,kmeans_no_snap,15
-3.3014751346271587,55.97896628776241,kmeans_no_snap,16
-3.209450725782633,55.97120903305895,kmeans_no_snap,17
-3.169677813884125,55.92398681693333,kmeans_no_snap,18
-3.2619307945134492,55.957996675121045,kmeans_no_snap,19
-3.195980796071081,55.963626806146195,kmeans_no_snap,20
-3.271437059104648,55.94105316800397,kmeans_no_snap,21
-3.1927991403713154,55.89290532807238,kmeans_no_snap,22
-3.0988096541847945,55.94399015375957,kmeans_no_snap,23
-3.1582238071863773,55.87666232223755,kmeans_no_snap,24
-3.163812255708591,55.96788239175076,kmeans_no_snap,25
-3.1914080547332517,55.95549857778698,kmeans_no_snap,26
-3.201261563642767,55.94344675398109,kmeans_no_snap,27
-3.199333366549218,55.93755923461464,kmeans_no_snap,28
-3.059279479700751,55.89276213759219,kmeans_no_snap,29
-3.177893748999561,55.95194718801633,kmeans_no_snap,30
-3.220188275608183,55.9153934479669,kmeans_no_snap,31
-3.243379620948984,55.94611352930091,kmeans_no_snap,32
-3.2319160492163794,55.92785795323505,kmeans_no_snap,33
-3.1858595611223293,55.942511205210366,kmeans_no_snap,34
-3.207795477305275,55.95843736270689,kmeans_no_snap,35
-3.1331085399404563,55.959746390131464,kmeans_no_snap,36
-3.13924266136869,55.921050725619125,kmeans_no_snap,37
-3.233928436446136,55.96052479659226,kmeans_no_snap,38
-3.1756691089546853,55.938857424059485,kmeans_no_snap,39
-3.2887870842973754,55.94535156913311,kmeans_no_snap,40
-3.1427710261740462,55.94783705882598,kmeans_no_snap,41
-3.207376948000895,55.9373315277388,kmeans_no_snap,42
-3.119613433040429,55.957248736894314,kmeans_no_snap,43
-3.2838050856757115,55.937188545898564,kmeans_no_snap,44
-3.1414642685545733,55.89864622273185,kmeans_no_snap,45
-3.232121712580415,55.946247292740516,kmeans_no_snap,46
-3.1894178717795265,55.97612512711569,kmeans_no_snap,47
-3.311919033827403,55.96343055509882,kmeans_no_snap,48
-3.269683107973704,55.90885323484537,kmeans_no_snap,49
-3.105061786616435,55.91426210915307,kmeans_no_snap,50
-3.321974208776833,55.91012946186753,kmeans_no_snap,51
-3.209254157084748,55.94612433042899,kmeans_no_snap,52
