category,poi_count,inflow_per_hour,outflow_per_hour,demand_per_hour
commercial,172,48.09564191737763,48.18873829463453,54.37607987469204
hospital,14,0.8793967329125592,1.3766827645716369,1.377936145231615
library,44,5.100762261785911,5.300005560142159,5.682312559873081
residential,459,45.583345276888245,44.20835393998032,48.88151007586212
school,173,5.736843744686762,5.273371118603102,6.032587624218703
university,23,3.2321464177095427,4.280984673428891,4.394992176367536
