poi_id,inflow,outflow,demand,category,lat,lon
24,1.8993841289374616,1.838744024812378,1.8993841289374616,library,55.94010782,-3.218358857
25,0.01706203349199086,0.01706203349199086,0.01706203349199086,library,55.89609792,-3.311059707
26,1.7841953953541239,1.9468861111677813,1.9468861111677813,library,55.93663051,-3.179831189
27,0.2934601771370323,0.3143756719781574,0.3143756719781574,library,55.90876593,-3.322166531
28,0.02153934171954261,0.02153934171954261,0.02153934171954261,library,55.95503729,-3.142267856
29,1.976961170608923,1.6127651566423629,1.976961170608923,library,55.9514455,-3.178098866
30,0.0013262479208719369,0.0013262479208719369,0.0013262479208719369,library,55.9320804,-3.179735895
31,0.11183402294085065,0.10086256799779174,0.11183402294085065,library,55.92889298,-3.209940931
32,0.011062265967433581,0.009693195153749352,0.011062265967433581,library,55.93725887,-3.248423134
33,0.8577096163270947,0.7751879693991782,0.8577096163270947,library,55.96134562,-3.181388959
34,0.0022876371905186663,0.0022876371905186663,0.0022876371905186663,library,55.86672505,-3.06583005
35,0.8781524267326053,0.8494020867363725,0.8781524267326053,library,55.92290461,-3.174976595
36,0.007299387852161312,0.007299387852161312,0.007299387852161312,library,55.90672481,-3.251408978
37,0.004765927712111592,0.004765927712111592,0.004765927712111592,library,55.95538392,-3.287034985
38,3.036185811312732,2.3028480612731923,3.036185811312732,library,55.95891962,-3.207839007
39,0.0020444069542200328,0.0020444069542200328,0.0020444069542200328,library,55.90531345,-3.134191235
40,0.005565504438198938,0.005565504438198938,0.005565504438198938,library,55.95337271,-3.116759644
41,0.0011594185876389802,0.0011594185876389802,0.0011594185876389802,library,55.96651862,-3.205719224
42,0.0023962839487593006,0.0023962839487593006,0.0023962839487593006,library,55.90529096,-3.223430258
43,0.08115476423772763,0.09068878918496091,0.09068878918496091,library,55.95050315,-3.213323145
44,0.020385130351665785,0.020385130351665785,0.020385130351665785,school,55.973634080000004,-3.2507802496666667
45,0.0022773982442165523,0.0022773982442165523,0.0022773982442165523,school,55.9666246,-3.2259783
46,0.004261394522439008,0.004261394522439008,0.004261394522439008,school,55.9344588,-3.1233362
47,0.02305703345242968,0.02305703345242968,0.02305703345242968,school,55.9609479,-3.171037
48,0.21030270618708208,0.14584863577087215,0.21030270618708208,school,55.9768772,-3.1719622
49,0.0014303733189630992,0.0014303733189630992,0.0014303733189630992,school,55.9471277,-3.2137763
50,0.0013218599014872886,0.0013218599014872886,0.0013218599014872886,school,55.9529392,-3.1994168
51,0.1128262620760711,0.09684849032521362,0.1128262620760711,school,55.9430316,-3.0674452
52,0.008935674858178626,0.008935674858178626,0.008935674858178626,school,55.928444539999994,-3.273827281333333
53,0.00821844173780211,0.00821844173780211,0.00821844173780211,school,55.95238672,-3.2800213066666664
54,0.0031776185986050745,0.0031776185986050745,0.0031776185986050745,school,55.9037635,-3.1653365
55,0.002662013016116293,0.002662013016116293,0.002662013016116293,school,55.9173669,-3.1693957
56,0.016099219675264814,0.016099219675264814,0.016099219675264814,school,55.901250454999996,-3.045115402
57,0.007601480179338194,0.007601480179338194,0.007601480179338194,school,55.9518817,-3.1132882
58,0.004000678797790532,0.004000678797790532,0.004000678797790532,school,55.9339879,-3.1470357
59,0.0072107101640159574,0.0072107101640159574,0.0072107101640159574,school,55.934923133333335,-3.127840397
60,0.002204970920169241,0.002204970920169241,0.002204970920169241,school,55.9555238,-3.152655
61,0.0012646136043362591,0.0012646136043362591,0.0012646136043362591,school,55.97648064,-3.186195735
62,0.00662400544344888,0.00662400544344888,0.00662400544344888,school,55.97141011,-3.304438658
63,9.38729783334098e-05,9.375907598663625e-05,9.38729783334098e-05,school,55.96571475,-3.189293486
64,0.002564889079698433,0.002564889079698433,0.002564889079698433,school,55.89809051,-3.153343637
65,0.004436018927262247,0.004436018927262247,0.004436018927262247,school,55.94313161,-3.044215958
66,0.0016564085600681432,0.0016564085600681432,0.0016564085600681432,school,55.97530208,-3.213430479
67,0.08565590075143033,0.08565590075143033,0.08565590075143033,school,55.89629569,-3.321238961
68,0.006337468361059008,0.006230317274711292,0.006337468361059008,school,55.93628395,-3.10452498
69,0.0023128210999566463,0.0023128210999566463,0.0023128210999566463,school,55.93196186,-3.290187042
70,0.0019242917978831119,0.0019242917978831119,0.0019242917978831119,school,55.91279734,-3.135086424
71,0.0023208584896440747,0.0023208584896440747,0.0023208584896440747,school,55.9227861,-3.161746013
72,0.9163070714199902,1.2905278623635479,1.2905278623635479,school,55.936801335,-3.2008669540000003
73,0.001118820925489202,0.001118820925489202,0.001118820925489202,school,55.92954816,-3.218452366
74,0.0010526258505842467,0.0010526258505842467,0.0010526258505842467,school,55.92144785,-3.212312889
75,0.3920823028432902,0.3394499548589758,0.3920823028432902,school,55.96472063,-3.227396912
76,0.003451399004025569,0.003451399004025569,0.003451399004025569,school,55.92244893,-3.281525523
77,0.8862204267929298,0.70109613675991,0.8862204267929298,school,55.95800006,-3.224834063
78,0.006324667993198819,0.006324667993198819,0.006324667993198819,school,55.91520901,-3.236387153
79,0.0035092548166361795,0.0035092548166361795,0.0035092548166361795,school,55.97340853,-3.25496947
80,0.0015885628635022896,0.0015885628635022896,0.0015885628635022896,school,55.94601851,-3.194495974
81,0.0032097234303560154,0.0032097234303560154,0.0032097234303560154,school,55.93401846,-3.135939249
82,0.004809026596126475,0.004809026596126475,0.004809026596126475,school,55.96550097,-3.161601955
83,0.003069657890971719,0.003069657890971719,0.003069657890971719,school,55.96581272,-3.16568221
84,0.04694335889522985,0.034079823998884616,0.04694335889522985,school,55.96607325,-3.174593907
85,0.5494613528398659,0.5546557584924741,0.5546557584924741,school,55.96051884,-3.190140901
86,0.2748063977319659,0.2787573092058793,0.2787573092058793,school,55.95395103,-3.227191859
87,0.018591492618937125,0.018591492618937125,0.018591492618937125,school,55.95989658,-3.144027159
88,0.0035035770905496736,0.0035035770905496736,0.0035035770905496736,school,55.96047022,-3.150131239
89,0.8234993776663501,1.2812663009049006,1.2812663009049006,school,55.93731601,-3.210468677
90,0.018839103034720393,0.018839103034720393,0.018839103034720393,school,55.8976554,-3.312464512
91,0.014304681955643314,0.011817477961193458,0.014304681955643314,school,55.94003635,-3.22969552
92,0.09671865958095266,0.09671865958095266,0.09671865958095266,school,55.92929159,-3.204512687
93,0.002293421752753832,0.002293421752753832,0.002293421752753832,school,55.93011752,-3.136394641
