poi_id,category,inflow,outflow,demand,inflow_per_hour,outflow_per_hour,demand_per_hour,demand_ratio
842,commercial,0.007733517579668518,0.007733517579668518,0.007733517579668518,0.0017162651699333458,0.0017162651699333458,0.0017162651699333458,0.22192555354415897
843,commercial,0.0019519624099472378,0.0019519624099472378,0.0019519624099472378,0.0004331903383808651,0.0004331903383808651,0.0004331903383808651,0.22192555345912057
844,commercial,0.0035112095563882392,0.0035112095563882392,0.0035112095563882392,0.0007792271245117662,0.0007792271245117662,0.0007792271245117662,0.2219255535096523
845,commercial,0.00925949673403504,0.00925949673403504,0.00925949673403504,0.002054918938506708,0.002054918938506708,0.002054918938506708,0.22192555354888102
846,commercial,0.06320567943946238,0.06320567943946238,0.06320567943946238,0.01402701700387375,0.01402701700387375,0.01402701700387375,0.22192652824951792
847,commercial,0.040722495977796196,0.040722495977796196,0.040722495977796196,0.009037362462740643,0.009037362462740643,0.009037362462740643,0.2219255535674019
848,commercial,0.12829107556149633,0.12829107556149633,0.12829107556149633,0.028471067962441792,0.028471067962441792,0.028471067962441792,0.22192555357112317
849,commercial,0.0019228237883658426,0.0019228237883658426,0.0019228237883658426,0.0004267237336561787,0.0004267237336561787,0.0004267237336561787,0.22192555345745668
850,commercial,0.003061134742151656,0.003061134742151656,0.003061134742151656,0.0006793440222129506,0.0006793440222129506,0.0006793440222129506,0.22192555350030674
851,commercial,0.9717152063258467,0.9345426711446859,0.9717152063258467,0.22730326033060258,0.2014558769096782,0.22730326033060258,0.2339196287663597
852,commercial,3.320860445859103e-05,2.5154800363643826e-05,3.320860445859103e-05,7.201335807224483e-06,4.553920017897781e-06,7.201335807224483e-06,0.2168514970074272
853,commercial,0.010424761727258687,0.010424761727258687,0.010424761727258687,0.0023135210171869604,0.0023135210171869604,0.0023135210171869604,0.22192555355156326
854,commercial,0.42219412338386203,0.34846602483321615,0.42219412338386203,0.09879996285559131,0.07543319395685288,0.09879996285559131,0.23401548572841607
855,commercial,0.17148489028266078,0.14690446659631504,0.17148489028266078,0.03830341927341542,0.03164475859846573,0.03830341927341542,0.2233632316529814
856,commercial,0.0015284895594797148,0.0015284895594797148,0.0015284895594797148,0.0003392640533505927,0.0003392640533505927,0.0003392640533505927,0.22196033399411313
857,commercial,0.00639726687327931,0.00639726687327931,0.00639726687327931,0.0014197169922056966,0.0014197169922056966,0.0014197169922056966,0.22192555353814844
858,commercial,1.3672501923998872,1.5390257533192855,1.5390257533192855,0.29844530848492146,0.33771435993316706,0.33771435993316706,0.2194338588581666
859,commercial,1.854285910303127,2.216032384518795,2.216032384518795,0.4095884633505555,0.48201014624693383,0.48201014624693383,0.21751042521492006
860,commercial,0.007430922108427405,0.007430922108427405,0.007430922108427405,0.0016491115024694649,0.0016491115024694649,0.0016491115024694649,0.2219255535429826
861,commercial,0.006876081992206666,0.006876081992206666,0.006876081992206666,0.0015259783025326767,0.0015259783025326767,0.0015259783025326767,0.22192555354056148
862,commercial,0.0031045847947593066,0.0031045847947593066,0.0031045847947593066,0.0006889866991907725,0.0006889866991907725,0.0006889866991907725,0.2219255535013541
863,commercial,0.008672669074677888,0.008672669074677888,0.008672669074677888,0.0019246868853519518,0.0019246868853519518,0.0019246868853519518,0.22192555354725224
864,commercial,1.4567352770156665,1.9462670454484934,1.9462670454484934,0.29997556670433,0.4698737433126955,0.4698737433126955,0.24142305877874914
865,commercial,0.017900812332623518,0.017900812332623518,0.017900812332623518,0.003972647686321045,0.003972647686321045,0.003972647686321045,0.2219255535604453
866,commercial,0.005603964301263347,0.005603964301263347,0.005603964301263347,0.0012436628797603067,0.0012436628797603067,0.0012436628797603067,0.2219255535332393
867,commercial,0.0060444772891159815,0.0060444772891159815,0.0060444772891159815,0.0013414239684454387,0.0013414239684454387,0.0013414239684454387,0.22192555353611054
868,commercial,2.416721944485834,2.733148530574882,2.733148530574882,0.498818234358659,0.6590976119377361,0.6590976119377361,0.24114957696750652
869,commercial,0.0036956285039403134,0.0036956285039403134,0.0036956285039403134,0.0008201544015364404,0.0008201544015364404,0.0008201544015364404,0.2219255535127675
870,commercial,0.00366046926879474,0.00366046926879474,0.00366046926879474,0.0008123516688136503,0.0008123516688136503,0.0008123516688136503,0.22192555351221477
871,hospital,0.8215964578937387,0.8215964578937387,0.8215964578937387,0.18233324873156317,0.18233324873156317,0.18233324873156317,0.2219255535725829
872,hospital,0.11524027738636192,0.11904523494628735,0.11904523494628735,0.023441147525303935,0.025383802725142603,0.025383802725142603,0.2132282130938078
