poi_id,inflow,outflow,demand,category,lat,lon
447,2.627308560981805,4.047305753042729,4.047305753042729,residential,55.936654145,-3.209054508
448,0.0819953255272523,0.0819953255272523,0.0819953255272523,residential,55.90481570857143,-3.285899198547619
449,0.05189996921211338,0.05189996921211338,0.05189996921211338,residential,55.904951482272736,-3.2775917913636365
450,0.7741107134174445,1.2812884672903218,1.2812884672903218,residential,55.945330215,-3.1956709805
451,0.018078414533893916,0.018078414533893916,0.018078414533893916,residential,55.864144800000005,-3.0900137
452,0.015969480922310285,0.015969480922310285,0.015969480922310285,residential,55.86546799,-3.0879767165
453,0.0020682073635881325,0.0020682073635881325,0.0020682073635881325,residential,55.95862696,-3.171429835
454,0.0428373920784688,0.0428373920784688,0.0428373920784688,residential,55.918810061333346,-3.2823125186666666
455,0.011086191409126072,0.011086191409126072,0.011086191409126072,residential,55.92063842666666,-3.2777318463333334
456,0.004206801213197644,0.004206801213197644,0.004206801213197644,residential,55.91914935,-3.279072965
457,0.008474212442591568,0.008474212442591568,0.008474212442591568,residential,55.91793221333333,-3.2769115336666665
458,0.010591794767742036,0.010591794767742036,0.010591794767742036,residential,55.916655090000006,-3.284238867666667
459,0.32719183213124514,0.32719183213124514,0.32719183213124514,residential,55.912172295000005,-3.2713981787727264
460,0.037902378061387396,0.037902378061387396,0.037902378061387396,residential,55.913602819090904,-3.278389717
461,0.012493216903978716,0.012493216903978716,0.012493216903978716,residential,55.91326162,-3.273608407
462,0.012659511942766188,0.012659511942766188,0.012659511942766188,residential,55.91173813,-3.27612026
463,0.012411611526720726,0.012411611526720726,0.012411611526720726,residential,55.91255628,-3.275080053
464,0.0318504980982825,0.0318504980982825,0.0318504980982825,residential,55.921751471250005,-3.280277951625
465,0.034752801504184555,0.034752801504184555,0.034752801504184555,residential,55.92562258125,-3.2819077319999996
466,0.0849747462227482,0.0849747462227482,0.0849747462227482,residential,55.92969547416667,-3.2822886180000004
467,0.01286987243371961,0.01286987243371961,0.01286987243371961,residential,55.96007399333333,-3.149543793
468,0.02921980732764246,0.02921980732764246,0.02921980732764246,residential,55.9544963,-3.1534584
469,3.909383621567842,6.034569597502463,6.034569597502463,residential,55.9376034625,-3.2024446422499997
470,14.495371017589877,18.88107341226549,18.88107341226549,residential,55.93848255611111,-3.1995846586111107
471,3.2486929905533857,2.86449376689855,3.2486929905533857,residential,55.95460220500001,-3.1708138
472,0.006798068536172456,0.006798068536172456,0.006798068536172456,residential,55.95602187,-3.161463814
473,0.1037956352350056,0.1037956352350056,0.1037956352350056,residential,55.93603822863636,-3.2455208473181827
474,0.6901470472783553,0.9522950663662076,0.9522950663662076,residential,55.93655392,-3.196995058
475,0.006064581150739494,0.006064581150739494,0.006064581150739494,residential,55.97272983,-3.167137733666667
476,0.004401240763429878,0.004401240763429878,0.004401240763429878,residential,55.97354867,-3.165947248
477,0.0376291037573869,0.01983426564865848,0.0376291037573869,residential,55.97582079,-3.169036413
478,0.002245318093980504,0.002245318093980504,0.002245318093980504,residential,55.96285142,-3.165961558
479,0.063060281408203,0.063060281408203,0.063060281408203,residential,55.97504558260868,-3.302293060152174
