poi_id,category,inflow,outflow,demand,inflow_per_hour,outflow_per_hour,demand_per_hour,demand_ratio
359,residential,0.0012848840612874758,0.0012848840612874758,0.0012848840612874758,0.00028514860657811265,0.00028514860657811265,0.00028514860657811265,0.22192555340009693
360,residential,0.0012972088589413892,0.0012972088589413892,0.0012972088589413892,0.00028788379412025475,0.00028788379412025475,0.00028788379412025475,0.22192555340183384
361,residential,0.039741806362783,0.039741806362783,0.039741806362783,0.008819722377045421,0.008819722377045421,0.008819722377045421,0.22192555356726057
362,residential,1.6807836475472386,1.6407372270928138,1.6807836475472386,0.38800574646345176,0.32797512405163476,0.38800574646345176,0.2308481207735667
363,residential,0.004363920478749391,0.004363920478749391,0.004363920478749391,0.000968465467994409,0.000968465467994409,0.000968465467994409,0.22192555352200768
364,residential,0.08935190972511738,0.06911371466601399,0.08935190972511738,0.01907023296514624,0.014855547799639681,0.01907023296514624,0.2134283757739545
365,residential,0.0037543019581495036,0.0037543019581495036,0.0037543019581495036,0.0008331755403419203,0.0008331755403419203,0.0008331755403419203,0.22192555351372623
366,residential,0.002261835200039945,0.002261835200039945,0.002261835200039945,0.0005019590288593827,0.0005019590288593827,0.0005019590288593827,0.22192555347471485
367,residential,0.07584397281706938,0.059833567480691165,0.07584397281706938,0.01618447587818435,0.012781178682769574,0.01618447587818435,0.21339172088211722
368,residential,2.412160073715543,3.8748338039214882,3.8748338039214882,0.5084428964775872,0.8747825601594003,0.8747825601594003,0.22576002079724278
369,residential,0.003658397256936622,0.003658397256936622,0.003658397256936622,0.0008118918364349706,0.0008118918364349706,0.0008118918364349706,0.22192555351216475
370,residential,0.012784589554221244,0.012784589554221244,0.012784589554221244,0.0028372271140220764,0.0028372271140220764,0.0028372271140220764,0.22192555355547952
371,residential,0.00443267931545314,0.00443267931545314,0.00443267931545314,0.0009837248108928408,0.0009837248108928408,0.0009837248108928408,0.22192555352277987
372,residential,0.003182040084242454,0.003182040084242454,0.003182040084242454,0.0007061760071864686,0.0007061760071864686,0.0007061760071864686,0.22192555350309545
373,residential,0.0037162169334167467,0.0037162169334167467,0.0037162169334167467,0.0008247235001452475,0.0008247235001452475,0.0008247235001452475,0.22192555351311488
374,residential,1.6613387275345544,1.7380672957060483,1.7380672957060483,0.3601090912824005,0.38824265844522965,0.38824265844522965,0.22337607951324573
375,residential,0.00932366679636836,0.00932366679636836,0.00932366679636836,0.002069159915112894,0.002069159915112894,0.002069159915112894,0.2219255535490524
376,residential,0.2745556510846445,0.21162685697499384,0.2745556510846445,0.05817674625930033,0.048599985688730474,0.05817674625930033,0.21189418622147668
377,residential,0.014496183787170235,0.014496183787170235,0.014496183787170235,0.0032170736116615053,0.0032170736116615053,0.0032170736116615053,0.22192555355753923
378,residential,0.5160177213704713,0.3904475968616482,0.5160177213704713,0.11993170707237089,0.08756452765346015,0.11993170707237089,0.23241780680248061
379,residential,0.01327087772255899,0.01327087772255899,0.01327087772255899,0.0029451468849764424,0.0029451468849764424,0.0029451468849764424,0.2219255535561224
380,residential,0.652495284219537,0.652495284219537,0.652495284219537,0.1448053771540965,0.1448053771540965,0.1448053771540965,0.22192555357251245
381,residential,0.015279064822590706,0.015279064822590706,0.015279064822590706,0.0033908149188288865,0.0033908149188288865,0.0033908149188288865,0.2219255535583242
382,residential,0.10316336974227276,0.10316336974227276,0.10316336974227276,0.02289458793849485,0.02289458793849485,0.02289458793849485,0.2219255535707023
383,residential,0.01621902328235062,0.01621902328235062,0.01621902328235062,0.0035994157203466494,0.0035994157203466494,0.0035994157203466494,0.22192555355916976
384,residential,3.5105502793029277,2.6626571362708145,3.5105502793029277,0.7734307641225193,0.6130730956995144,0.7734307641225193,0.22031610505116458
385,residential,0.0019728900436427814,0.0019728900436427814,0.0019728900436427814,0.0004378347150737894,0.0004378347150737894,0.0004378347150737894,0.22192555346036294
386,residential,0.01179811834133383,0.01179811834133383,0.01179811834133383,0.0026183039440183845,0.0026183039440183845,0.0026183039440183845,0.22192555355402951
387,residential,0.06282398776684398,0.06282398776684398,0.06282398776684398,0.013942248262810538,0.013942248262810538,0.013942248262810538,0.22192555356931323
388,residential,0.0024683508693657246,0.0024683508693657246,0.0024683508693657246,0.000547790133095957,0.000547790133095957,0.000547790133095957,0.2219255534829185
389,residential,0.3702320369061748,0.3702320369061748,0.3702320369061748,0.0821639497408073,0.0821639497408073,0.0821639497408073,0.2219255535722523
390,residential,0.006687602462609713,0.006687602462609713,0.006687602462609713,0.0014841498785897256,0.0014841498785897256,0.0014841498785897256,0.22192555353965196
391,residential,0.030882521914008393,0.030882521914008393,0.030882521914008393,0.006853620771491761,0.006853620771491761,0.006853620771491761,0.22192555356565666
392,residential,0.0358030559669338,0.0358030559669338,0.0358030559669338,0.00794561301506132,0.00794561301506132,0.00794561301506132,0.2219255535666461
393,residential,0.05269101657581528,0.05269101657581528,0.05269101657581528,0.01169348302190376,0.01169348302190376,0.01169348302190376,0.22192555356863322
394,residential,0.031609000498808396,0.031609000498808396,0.031609000498808396,0.007014844933582247,0.007014844933582247,0.007014844933582247,0.22192555356581964
395,residential,0.0447187473036456,0.0447187473036456,0.0447187473036456,0.009924232750445783,0.009924232750445783,0.009924232750445783,0.22192555356788377
396,residential,0.0011145257723072875,0.0011145257723072875,0.0011145257723072875,0.00024734174899051874,0.00024734174899051874,0.00024734174899051874,0.22192555337374312
397,residential,0.6426359734421233,0.6589676409664833,0.6589676409664833,0.13898470247290964,0.14580029758387603,0.14580029758387603,0.2212556254959878
398,residential,0.05351945147430186,0.05351945147430186,0.05351945147430186,0.011877333895349751,0.011877333895349751,0.011877333895349751,0.22192555356870391
399,residential,0.05423038834880982,0.05423038834880982,0.05423038834880982,0.012035108954780379,0.012035108954780379,0.012035108954780379,0.22192555356876004
400,residential,0.004797417446791592,0.004797417446791592,0.004797417446791592,0.0010646695225992766,0.0010646695225992766,0.0010646695225992766,0.22192555352659143
401,residential,0.02256971318654871,0.02256971318654871,0.02256971318654871,0.005008796092905338,0.005008796092905338,0.005008796092905338,0.22192555356301993
402,residential,0.00429619854425496,0.00429619854425496,0.00429619854425496,0.0009534362401926866,0.0009534362401926866,0.0009534362401926866,0.22192555352120125
403,residential,0.004320956632847945,0.004320956632847945,0.004320956632847945,0.000958930692709042,0.000958930692709042,0.000958930692709042,0.22192555352148596
