station_id,poi_index,poi_id,weight
171,76,76,0.40061454663648455
171,99,99,0.4147835767816393
171,259,259,0.1846018765818762
183,7042,7042,0.6852362117826931
183,10742,10742,0.16635029582648242
183,736,736,0.1484134923908245
189,37,37,0.3851724411071133
189,30,30,0.3365234445096394
189,186,186,0.27830411438324726
225,33458,33458,0.5532078275167264
225,33092,33092,0.33634875513209767
225,28,28,0.11044341735117602
246,10492,10492,0.355603630990944
246,32747,32747,0.3421373378021614
246,32237,32237,0.30225903120689457
247,6472,6472,0.41442707829905345
247,6473,6473,0.32726762746513166
247,6474,6474,0.2583052942358149
248,3134,3134,0.2723776638630604
248,33605,33605,0.38422767888103915
248,153,153,0.34339465725590046
249,416,416,0.3800514859075372
249,381,381,0.3360931387990466
249,430,430,0.28385537529341626
250,489,489,0.5694328187025871
250,420,420,0.2079747597283682
250,11,11,0.22259242156904466
251,33458,33458,0.3697759319693803
251,7042,7042,0.3291300569688485
251,62,62,0.30109401106177125
252,27182,27182,0.36700868416269533
252,27154,27154,0.34019673212422086
252,11137,11137,0.29279458371308387
253,9897,9897,0.40512264378502727
253,10447,10447,0.3130829513828385
253,9863,9863,0.28179440483213425
254,806,806,0.3858409620606086
254,98,98,0.3930325948676718
254,6491,6491,0.22112644307171958
255,806,806,0.33531293423164005
255,98,98,0.4398583077244822
255,6491,6491,0.22482875804387778
256,33092,33092,0.3563528484930725
256,32565,32565,0.40135065150516486
256,336,336,0.2422965000017626
257,11647,11647,0.35412264568118607
257,11638,11638,0.3263203865722709
257,1567,1567,0.31955696774654296
258,3474,3474,0.4573689296536036
258,3489,3489,0.36300174416368375
258,3488,3488,0.17962932618271257
259,22104,22104,0.318527520036286
259,22106,22106,0.3127701552678235
259,62,62,0.36870232469589054
260,33640,33640,0.43365655209578624
260,33638,33638,0.3126719115010343
260,33639,33639,0.2536715364031795
261,190,190,0.4885914101774984
261,482,482,0.2928183676510766
261,409,409,0.21859022217142507
262,6867,6867,0.3626655561502813
262,6868,6868,0.33230991724774156
262,28990,28990,0.3050245266019772
264,5769,5769,0.4186681565492168
264,5768,5768,0.31885131396587224
264,10492,10492,0.26248052948491085
265,33,33,0.5559213878967804
265,796,796,0.2246825434948123
265,226,226,0.21939606860840744
266,28878,28878,0.33680173693234067
266,443,443,0.333443515471158
266,28879,28879,0.3297547475965012
273,482,482,0.40959468455128534
273,6181,6181,0.361201743363452
273,6285,6285,0.22920357208526274
275,9019,9019,0.4767759437238281
275,6980,6980,0.262550722462533
275,6983,6983,0.26067333381363883
277,22118,22118,0.36319717310505734
277,22113,22113,0.3470579789204689
277,22114,22114,0.28974484797447386
284,4592,4592,0.4052102717778575
284,398,398,0.32340968091730654
284,22057,22057,0.27138004730483595
285,32870,32870,0.3129498918386485
285,385,385,0.35912166374641097
285,489,489,0.3279284444149405
289,6693,6693,0.43058927407311137
289,5794,5794,0.29261603418754606
289,5796,5796,0.27679469173934257
290,4618,4618,0.39476480170404527
290,4613,4613,0.34155157943150793
290,5112,5112,0.26368361886444686
296,754,754,0.3823857836358385
296,34,34,0.34692514123172274
296,7430,7430,0.2706890751324388
297,408,408,0.5891003345241326
297,32196,32196,0.4108996654758673
340,6594,6594,0.5019832000315518
340,6370,6370,0.3222020963485138
340,16004,16004,0.17581470361993434
341,6227,6227,0.38036033089497684
341,6225,6225,0.36346429747608977
