poi_id,inflow_per_hour,outflow_per_hour,demand_per_hour,category,lat,lon
0,5.088233210643365e-05,5.088233210643365e-05,0.0001017646642128673,library,55.9162285,-3.2851455
1,1.1824834994273953e-06,1.1288716464803034e-06,2.311355145907699e-06,library,55.9407099,-3.2810362
2,0.0003492410883604494,0.00027094503613953725,0.0006201861244999867,library,55.9427446,-3.0563335
3,0.01827768250195502,0.026308565427576758,0.04458624792953178,library,55.9474192,-3.18728575
4,6.749064425116537e-05,6.749064425116537e-05,0.00013498128850233075,library,55.9331942,-3.1367474
5,0.00011269996056081379,0.00011269996056081379,0.00022539992112162758,library,55.8717713,-3.1137959
6,6.160084299757537e-05,6.160084299757537e-05,0.00012320168599515074,library,55.9201125,-3.2875585
7,6.516098570776119e-05,6.516098570776119e-05,0.00013032197141552238,library,55.9754823,-3.1800469
8,0.012162827442116272,0.011571412505305372,0.023734239947421645,library,55.9506224,-3.1808417
9,0.03509859571005544,0.05234572031048744,0.08744431602054288,library,55.9334673,-3.2128229
10,0.012523303814503563,0.017546653613388877,0.030069957427892438,library,55.948668825999995,-3.1919613932
11,7.34429255994707e-05,7.34429255994707e-05,0.0001468858511989414,library,55.9028613,-3.1531137
12,6.915586138201293e-05,6.915586138201293e-05,0.00013831172276402586,library,55.8796264,-3.1535729
13,0.1528399986193499,0.22556418432511996,0.37840418294446987,library,55.939691,-3.1818686
14,0.007485301695970703,0.0032667858300231647,0.010752087525993867,library,55.9460774,-3.2005191
15,4.750443971278591e-05,4.750443971278591e-05,9.500887942557182e-05,library,55.87442,-3.0485666
16,7.18430194717894e-05,7.18430194717894e-05,0.0001436860389435788,library,55.9767277,-3.2267667
17,7.82455759164673e-05,7.82455759164673e-05,0.0001564911518329346,library,55.9162181,-3.1102172
18,3.237107776482342e-05,3.237107776482342e-05,6.474215552964684e-05,library,55.949736,-3.1949634
19,0.0008488746109594138,0.000541766825400413,0.001390641436359827,library,55.9246932,-3.2880002
20,8.651867930124358e-05,8.651867930124358e-05,0.00017303735860248716,library,55.89286101,-3.070264127
