poi_id,inflow_per_hour,outflow_per_hour,demand_per_hour,category,lat,lon
0,0.0002718782113810851,0.0002718782113810851,0.0005437564227621702,library,55.9162285,-3.2851455
1,1.3878851059639484e-06,1.3114267296781127e-06,2.699311835642061e-06,library,55.9407099,-3.2810362
2,0.0018534905228542085,0.001151771087729167,0.0030052616105833755,library,55.9427446,-3.0563335
3,0.14482723296420605,0.15669745793219364,0.30152469089639966,library,55.9474192,-3.18728575
4,0.0002759313277345831,0.0002759313277345831,0.0005518626554691662,library,55.9331942,-3.1367474
5,0.000528881911338508,0.000528881911338508,0.001057763822677016,library,55.8717713,-3.1137959
6,0.0003741791904676676,0.0003741791904676676,0.0007483583809353352,library,55.9201125,-3.2875585
7,0.0002184677722842,0.0002184677722842,0.0004369355445684,library,55.9754823,-3.1800469
8,0.06108884390178869,0.06173762155581305,0.12282646545760173,library,55.9506224,-3.1808417
9,0.10786007372533978,0.15548416804880072,0.2633442417741405,library,55.9334673,-3.2128229
10,0.15846769617918488,0.3107287279801362,0.46919642415932106,library,55.948668825999995,-3.1919613932
11,0.000472825825642481,0.000472825825642481,0.000945651651284962,library,55.9028613,-3.1531137
12,0.0007166188163295627,0.0007166188163295627,0.0014332376326591254,library,55.8796264,-3.1535729
13,0.5189987035119723,0.6064979205628147,1.125496624074787,library,55.939691,-3.1818686
14,0.05287287235922705,0.07244564544090584,0.1253185178001329,library,55.9460774,-3.2005191
15,0.00023215260143707956,0.00023215260143707956,0.00046430520287415913,library,55.87442,-3.0485666
16,0.00022388529032038454,0.00022388529032038454,0.0004477705806407691,library,55.9767277,-3.2267667
17,0.0004063726337118099,0.0004063726337118099,0.0008127452674236198,library,55.9162181,-3.1102172
18,0.00016010891942278997,0.00016010891942278997,0.00032021783884557994,library,55.949736,-3.1949634
19,0.020797386491172635,0.01913453693331358,0.03993192342448622,library,55.9246932,-3.2880002
20,0.00042756853169755,0.00042756853169755,0.0008551370633951,library,55.89286101,-3.070264127
21,0.00017114489122455845,0.00017114489122455845,0.0003422897824491169,library,55.9616459,-3.26096943
22,0.04583236202560022,0.03850880678486067,0.08434116881046089,library,55.94266114,-3.188989747
23,0.000256594702154644,0.000256594702154644,0.000513189404309288,library,55.91345709,-3.134949632
24,0.12345857105148236,0.1195332258499149,0.24299179690139727,library,55.94010782,-3.218358857
25,0.004930461968930071,0.004930461968930071,0.009860923937860143,library,55.89609792,-3.311059707
26,0.2339503109236268,0.2710405038516146,0.5049908147752414,library,55.93663051,-3.179831189
27,0.02355605154515654,0.026190213546728108,0.04974626509188465,library,55.90876593,-3.322166531
28,0.010530500373678644,0.010530500373678644,0.021061000747357287,library,55.95503729,-3.142267856
29,0.18319267433528866,0.1598387451993815,0.34303141953467015,library,55.9514455,-3.178098866
30,0.00010043756121009894,0.00010043756121009894,0.00020087512242019788,library,55.9320804,-3.179735895
31,0.07881533595445551,0.08108265326769382,0.15989798922214932,library,55.92889298,-3.209940931
32,0.008765947061052659,0.007508385286562215,0.016274332347614873,library,55.93725887,-3.248423134
33,0.2930406158686253,0.2689785280814758,0.5620191439501011,library,55.96134562,-3.181388959
34,0.00022424890611527415,0.00022424890611527415,0.0004484978122305483,library,55.86672505,-3.06583005
35,0.25550389097979265,0.2987147927221684,0.554218683701961,library,55.92290461,-3.174976595
36,0.0009291103547590888,0.0009291103547590888,0.0018582207095181776,library,55.90672481,-3.251408978
37,0.0005631171494686335,0.0005631171494686335,0.001126234298937267,library,55.95538392,-3.287034985
38,0.2687196154789541,0.216435674832768,0.4851552903117221,library,55.95891962,-3.207839007
39,0.00019933700919250473,0.00019933700919250473,0.00039867401838500946,library,55.90531345,-3.134191235
40,0.005353307885937921,0.005353307885937921,0.010706615771875842,library,55.95337271,-3.116759644
41,0.00011203570541547135,0.00011203570541547135,0.0002240714108309427,library,55.96651862,-3.205719224
42,0.0002751349021872775,0.0002751349021872775,0.000550269804374555,library,55.90529096,-3.223430258
43,0.07348461316837135,0.07839524327284363,0.151879856441215,library,55.95050315,-3.213323145
44,0.0025777273138085184,0.0025777273138085184,0.005155454627617037,school,55.973634080000004,-3.2507802496666667
45,0.0002495251935494196,0.0002495251935494196,0.0004990503870988392,school,55.9666246,-3.2259783
46,0.0002566664013813901,0.0002566664013813901,0.0005133328027627802,school,55.9344588,-3.1233362
47,0.00048251685106064367,0.00048251685106064367,0.0009650337021212873,school,55.9609479,-3.171037
48,0.2217256066792167,0.17904894218360112,0.4007745488628178,school,55.9768772,-3.1719622
49,0.00015576909551654554,0.00015576909551654554,0.0003115381910330911,school,55.9471277,-3.2137763
50,0.00012038748954367316,0.00012038748954367316,0.00024077497908734632,school,55.9529392,-3.1994168
51,0.033574418264489404,0.030304340635011664,0.06387875889950106,school,55.9430316,-3.0674452
52,0.000835072313661773,0.000835072313661773,0.001670144627323546,school,55.928444539999994,-3.273827281333333
53,0.0009344371586478203,0.0009344371586478203,0.0018688743172956407,school,55.95238672,-3.2800213066666664
54,0.00044757731540275345,0.00044757731540275345,0.0008951546308055069,school,55.9037635,-3.1653365
55,0.00033938076492961354,0.00033938076492961354,0.0006787615298592271,school,55.9173669,-3.1693957
56,0.0016933345222385201,0.0016933345222385201,0.0033866690444770402,school,55.901250454999996,-3.045115402
57,0.007953960490983007,0.007953960490983007,0.015907920981966014,school,55.9518817,-3.1132882
58,0.00024506457080298807,0.00024506457080298807,0.0004901291416059761,school,55.9339879,-3.1470357
59,0.0008743464399464492,0.0008743464399464492,0.0017486928798928984,school,55.934923133333335,-3.127840397
